income,emi,expense,savings,emergency_fund,dependents,loans,insurance,risk
115627,70316,12368,77575,6655,3,2,2,1
129046,13403,42097,471873,142038,2,0,1,0
185798,50300,32677,55609,187733,0,3,1,1
132813,53006,105285,408554,199099,4,0,0,0
8051,48747,124692,480358,87235,4,3,1,1
175806,72615,83523,236175,94476,1,3,1,0
88613,73847,92750,210706,28251,1,1,0,1
37217,8308,15949,183062,132222,0,3,0,0
121352,66617,26896,392942,177247,0,4,0,0
116488,3343,39375,140734,16964,4,2,1,1
72215,69042,103468,454605,9435,4,0,1,1
83781,60403,53919,239833,166319,4,3,0,1
61573,59101,36646,366329,23049,4,3,1,1
131131,40158,33289,372370,100793,0,4,0,0
140683,27663,61991,188751,104182,1,0,2,0
154143,59275,21938,428411,91680,0,4,2,0
98610,38304,79449,82986,151836,4,3,2,1
8373,12161,107532,354802,123633,2,0,1,1
30351,15305,85353,207869,65953,2,0,2,0
8267,38513,21338,131484,7543,3,0,0,1
49425,38756,28888,166807,47295,2,0,2,1
90999,17955,47841,70640,196582,4,3,0,1
156222,71180,122856,330594,152424,0,0,1,0
177627,46959,141800,443733,119180,2,2,0,0
84459,16779,69163,475853,51934,3,2,1,1
10486,8335,96900,126020,102795,0,3,2,1
92508,60566,37192,263206,84076,4,1,1,1
16174,9348,48102,74460,102634,2,1,2,1
184208,23625,11542,283821,177804,1,0,1,0
24065,54693,36962,28295,13807,4,0,1,1
193926,40262,142396,353411,166981,3,2,0,0
31790,25289,25485,306626,86188,4,1,1,1
128961,30355,52918,314368,39298,4,3,1,1
71040,28016,33960,295735,103333,4,1,0,0
134695,22700,44620,234286,128148,4,2,0,0
96362,30354,23843,114065,71726,0,0,1,0
57638,52736,120133,368501,199938,0,2,1,1
147047,11023,31447,483685,125899,3,4,1,0
51427,61529,112023,346809,105787,1,3,0,1
132016,4835,30159,497562,178677,0,0,0,0
60284,57043,107007,82844,27532,2,4,1,1
141785,56178,59407,463556,50990,0,1,1,0
63141,23793,66570,226156,168964,0,0,1,0
144487,62292,33833,135230,193752,2,2,0,0
51540,20384,28017,338024,105570,0,4,2,0
165261,12763,108142,140932,80642,4,4,0,1
15916,4809,131288,38765,165888,2,4,0,1
62091,21949,47744,176615,108319,1,3,2,0
143311,14489,71877,436341,49922,2,1,0,0
120765,73963,116884,125917,24285,2,0,0,1
189943,19198,25254,44238,1252,4,1,2,1
58682,59494,91317,327359,78587,1,1,1,1
143013,25934,85745,476467,94456,0,3,1,0
75390,52329,53088,247940,103196,3,1,0,1
24963,55123,135911,364612,73477,4,1,0,1
109573,36586,55002,247666,137326,0,2,1,0
158487,24071,68243,387971,108215,0,2,2,0
169506,69724,125359,337841,28732,1,2,2,0
62108,36668,33061,341396,39749,0,4,0,0
152979,18777,61745,370608,91865,4,2,0,0
28321,10488,32574,398456,174293,2,4,0,0
100257,64291,137600,472930,50428,3,1,2,1
72661,44247,115113,266765,146106,2,2,2,1
87838,55658,48638,329211,118033,1,2,2,1
171926,46271,83688,431734,111076,3,1,2,0
55448,6229,57915,266776,104592,4,3,0,0
113099,7561,92152,125036,124049,3,1,2,1
78479,77735,91264,23275,72274,1,0,0,1
199053,54553,58447,427745,126394,2,4,1,0
8812,28024,126148,420501,116421,3,2,1,1
81125,13918,134040,144118,155890,4,3,2,1
21389,41427,132883,218958,131189,0,2,1,1
58441,846,20954,341383,46514,4,3,0,0
142541,30105,52101,64323,91922,3,0,0,1
132534,67584,114537,340621,42533,4,2,2,1
110292,47362,30128,385925,190455,1,4,2,0
145937,2219,49809,378892,5287,1,3,0,0
137414,63076,118872,412432,93070,2,0,0,0
17219,235,52929,127309,67444,2,0,1,0
89555,73698,134450,248320,136487,3,4,2,1
177904,58596,131101,423739,88861,2,4,0,0
155354,23930,141149,499097,125501,3,0,0,1
48303,59207,49711,143026,73340,0,0,0,1
72728,34016,21246,438774,149453,4,2,2,0
72506,41157,64917,223810,96646,2,1,2,0
125430,71324,15408,59379,25053,2,3,0,0
15789,66656,54028,326628,32154,0,3,1,1
64201,32265,112916,243322,174944,4,3,0,0
69435,40631,139038,232604,20103,4,4,2,1
89291,3756,30609,147550,170738,3,3,1,0
129714,71315,87834,388349,14153,1,2,1,0
78319,17368,101751,230203,27306,3,3,0,1
65279,53028,114263,126,52329,0,3,2,1
114945,55176,144869,178954,144790,0,4,0,1
137717,47523,134085,379862,19256,0,2,2,0
73244,11694,66264,468276,57545,3,0,0,1
102945,13224,50738,418366,63731,0,1,2,0
144649,8070,136161,8666,57761,2,0,2,1
46914,70507,137738,472242,67526,3,4,0,1
126008,37148,104270,266901,19097,3,1,0,1
163768,70480,56163,19816,180912,3,3,2,1
67823,20806,11759,257164,173021,2,2,2,0
98501,2079,143789,59676,159024,4,4,1,1
77847,18449,74077,300402,179374,1,1,1,0
124771,38000,36737,273629,38565,2,3,0,0
57487,12342,50806,310914,78623,1,1,2,0
80629,52603,136944,213046,105947,1,4,0,1
115904,76534,40678,76218,63230,4,0,2,1
77258,39986,95595,101358,64929,2,2,0,1
132157,66358,57057,268294,4425,0,4,2,0
156151,36220,128865,401921,173952,4,3,2,0
108145,15358,104914,365014,116243,4,4,1,0
137351,63197,121496,392417,193588,3,2,1,0
153843,29975,29063,67642,90093,0,1,2,0
32856,2573,45367,495553,99608,0,2,1,0
121739,55961,136678,336676,81994,1,4,1,0
174315,57384,41653,157729,171024,4,0,1,0
133377,78411,11622,48756,40809,4,2,0,0
86182,29402,14263,227595,177900,0,4,2,0
195124,11664,45737,363476,89563,1,1,1,0
197192,19250,31172,11555,53276,4,2,2,1
94599,72355,21046,228071,116021,1,4,0,1
64129,74478,124130,460514,163059,2,0,1,1
160130,45420,48890,66017,178376,1,1,0,1
105424,15048,64912,34008,131132,2,1,0,1
18350,24354,55186,28145,165092,3,3,2,1
25581,23051,61474,91748,125995,2,2,0,1
171844,21520,46408,356150,57134,3,2,2,0
187932,11344,142822,447972,67957,0,1,0,0
82454,27935,47641,29711,70342,0,1,0,1
24541,44813,149892,286214,142194,1,2,2,1
142809,36062,61571,287654,19426,1,2,1,0
71150,74910,62375,121826,35435,3,4,1,1
139055,20662,33510,209259,172070,0,3,0,0
151389,7564,123824,487439,79273,3,1,2,1
128618,52393,135341,495866,29430,4,4,1,1
184615,13919,79346,358266,39974,3,4,1,1
187256,61916,83972,193259,12984,3,0,1,1
110373,50072,34574,396646,143748,0,0,2,0
114996,33933,34951,32413,165873,3,1,1,1
176672,57775,145566,211760,122744,3,3,2,1
48001,67364,134988,307172,168645,2,4,1,1
184352,24262,90435,193283,185914,3,4,2,0
174269,41844,74754,495084,165229,1,2,1,0
121953,27376,128533,474628,182020,0,0,2,0
198555,18297,40448,288316,173946,1,2,1,0
161497,26685,122855,417794,159903,2,4,0,0
65504,59720,112979,34701,83300,1,2,0,1
159946,43642,75160,279746,103320,1,3,1,0
34192,46542,137015,304664,64772,2,2,1,1
30559,33742,79669,473415,152826,4,1,1,1
111532,9903,144092,303899,85956,4,0,1,1
130991,9516,125005,2396,84082,1,2,1,1
76719,7314,29623,198747,196154,0,4,2,0
187828,26292,121785,348350,69274,3,4,2,1
54708,74553,78344,311282,185374,1,1,2,1
172581,42534,102241,412003,126209,4,4,2,0
80713,60461,85418,459888,128232,0,1,0,1
137079,70981,86242,178589,29257,0,1,2,0
6435,26660,146156,475413,144579,3,3,1,1
143563,50192,133797,326032,73609,0,1,2,0
72889,23821,125374,24860,152267,3,2,2,1
157499,27083,67372,123786,175136,2,2,1,1
180641,11745,36029,144097,123395,0,2,0,0
102768,68878,51846,494364,75932,2,3,1,1
83797,52307,144165,470474,22042,2,0,1,1
102883,33756,63268,432430,159674,3,2,0,0
168268,5626,148496,275001,151054,1,4,2,1
31431,26385,28639,85530,21563,0,0,0,1
144783,74318,92970,243373,85553,3,2,0,1
87879,38827,146727,307003,184697,2,3,1,0
5526,68760,57837,260550,11536,3,3,0,1
109101,65455,84744,252859,129749,4,4,1,0
59615,29759,95708,191184,102471,4,1,1,1
166087,29009,93309,388590,193118,2,4,0,0
69288,51195,30581,445864,30087,2,2,0,1
179480,39499,135816,445485,169631,3,3,0,0
79441,74663,32431,323825,194555,0,1,0,1
163496,45004,122755,56985,50069,1,1,1,1
80897,68577,19078,418219,62768,2,4,2,1
185858,1925,127832,392550,125150,0,1,1,0
139461,25683,71550,24826,100734,2,3,1,1
164033,74137,43662,98818,187518,0,3,1,0
41877,15313,82715,141398,110091,4,0,0,1
88186,26745,133629,445795,70316,4,4,2,1
97447,20049,115361,278226,661,4,0,2,1
196387,79561,18946,225314,176572,4,0,2,0
166099,72541,122340,59321,132028,3,4,1,1
175515,39063,124225,378544,80818,0,3,1,0
167932,31585,53585,289102,26017,3,1,2,1
22778,45241,52229,86652,128267,2,4,1,1
131503,57056,29975,157795,154351,1,3,1,0
93397,49153,43142,289060,64324,4,0,1,0
186749,70135,45046,440280,101459,1,0,2,0
66272,67649,74674,144832,152999,3,3,0,1
126750,52233,54738,33397,82189,1,4,1,1
81619,19816,147348,245011,79530,3,0,0,1
76635,35946,65204,182958,15563,4,0,0,1
14847,26155,89671,116891,83310,3,2,0,1
39707,20337,91537,197576,178686,4,3,1,0
163492,39030,142130,217285,76260,4,2,0,1
165928,9200,74178,296141,156683,1,3,0,0
171129,1239,136945,45272,89393,4,0,2,1
125030,56503,147710,6570,68785,3,3,2,1
27911,32556,138335,1969,43753,3,1,0,1
128008,23196,115823,275813,168452,1,0,2,0
151649,55409,38625,212112,24089,0,3,2,0
178895,37208,64061,423875,101376,2,4,0,0
163056,8125,46059,462785,103409,0,0,0,0
116279,72460,128516,478366,197096,2,3,1,1
119044,29165,77203,484965,4114,1,1,0,0
104304,25426,27772,365898,3712,0,4,2,0
94152,27723,136969,234182,100494,4,2,0,1
108896,8927,103680,358690,153515,1,2,2,0
196305,25537,87576,107522,22612,1,1,1,1
36348,64732,11177,135832,32779,4,1,0,1
163670,11563,56819,335914,158038,1,3,2,0
194420,24596,74106,463183,59182,4,3,2,1
61088,8906,46914,372494,45379,4,4,1,1
173722,46881,56413,137084,181187,4,3,1,0
172450,42652,131999,114793,185763,1,1,0,1
179668,23171,96365,230662,114014,3,1,2,0
77588,63646,13654,482238,18743,0,1,0,1
142513,24611,129891,107971,12149,0,3,0,1
149745,76666,98204,211830,196501,4,3,0,0
188321,37384,91929,390103,76153,0,4,1,0
124503,34084,120641,105111,186898,3,3,2,1
41041,65681,91571,196553,199648,1,4,2,1
31160,17633,27014,342676,49104,4,2,2,0
28711,57993,17421,218008,17727,2,4,1,1
99018,32117,41910,126888,55754,3,2,1,0
38893,76329,41007,484518,170604,3,4,0,1
150282,16456,41367,54624,141178,0,3,0,1
77240,64315,20756,461227,36378,4,1,2,1
50113,74069,146321,251051,150273,0,2,1,1
14686,53363,107543,131733,175915,1,3,0,1
47828,48604,20526,331054,25592,1,0,2,1
73619,29328,56479,151175,170963,2,4,2,0
107747,55922,58231,29301,193783,3,0,0,1
103452,13395,131237,56273,91878,0,4,1,1
14715,19169,128413,409379,119264,1,4,1,1
40585,30682,139992,346560,186186,2,3,1,1
23073,36035,100373,345506,90517,2,3,0,1
66929,12329,35169,87468,34594,1,2,2,0
45461,73800,88222,112020,24226,1,2,1,1
188202,72909,114211,186321,179967,1,0,1,1
79520,63740,74309,29984,118947,0,4,2,1
171370,51112,33429,50200,179316,1,4,1,1
22347,16920,41822,439875,40108,3,3,0,1
169685,28179,65099,35262,78213,4,2,1,1
65545,72146,49922,472580,42913,1,0,1,1
191749,49841,129863,488910,156104,2,0,2,0
197660,70984,38141,402290,137478,3,0,2,0
59823,23312,108723,274555,57009,4,3,2,1
76229,51196,106774,489626,26715,4,4,1,1
74252,61949,80017,63037,89818,4,4,1,1
29022,5542,70428,153812,59353,1,4,0,0
21052,47076,141743,262307,41424,2,0,2,1
140870,22420,130575,258230,29300,1,3,1,1
133563,37487,31223,72930,145128,4,3,0,0
155949,55316,127360,53352,161983,0,0,0,1
109576,64641,13631,137244,42080,1,1,1,0
33671,51431,137734,224033,159674,0,0,2,1
161503,56492,106722,440900,30111,3,0,2,1
178063,70476,70920,487510,63530,0,4,2,0
128287,76816,93588,147603,88340,1,3,2,1
130426,64027,102601,29956,104797,1,3,0,1
153702,61063,137896,166216,183233,1,2,0,1
187051,6979,133257,454774,86205,1,1,0,0
161299,5978,27153,321909,108212,3,1,2,0
152977,45838,135200,451495,89489,0,0,2,0
190165,55419,115432,470641,92949,3,3,0,1
81971,64946,108989,84080,192404,2,1,1,1
184830,76272,47643,443624,43950,1,4,0,0
130588,15997,89751,98605,154983,3,2,1,1
63005,58712,53541,23387,93980,4,1,1,1
69028,55731,54638,484814,177558,3,4,1,1
8754,27044,77260,66912,8706,2,4,1,1
141998,9496,66447,363748,160878,1,1,0,0
60147,49666,48787,244839,194018,1,1,2,1
73056,3081,90102,472794,156570,1,0,0,0
122235,47701,118777,19033,141877,3,0,1,1
120725,13944,29873,40372,89464,3,2,2,1
10110,54341,22087,416978,82617,3,4,1,1
118175,66549,124914,23705,198436,4,4,1,1
97197,64429,114195,192699,33848,4,3,0,1
32766,68099,79122,147159,48868,1,3,1,1
114079,65697,26029,246353,145298,3,3,2,0
115384,68926,147069,317650,78229,4,3,1,1
157889,37861,23428,175006,141330,4,3,1,0
33854,6256,86256,427153,99134,3,0,2,0
161123,27386,43787,21621,77984,0,3,2,1
166326,57418,13471,238404,120312,3,4,1,0
170937,46850,64220,243306,93808,4,0,2,0
88820,23284,93369,287266,130349,1,2,0,0
67812,7999,32436,305107,133168,4,1,0,0
113899,26201,15105,379810,94848,0,3,1,0
130736,13493,27069,7531,168123,0,3,0,1
50603,23252,142503,205675,168553,3,2,2,1
24675,73997,17896,426188,49733,3,0,0,1
10347,59063,143715,302929,18681,2,0,0,1
52299,17073,112304,30682,124302,1,2,2,1
70428,50601,143611,495479,111487,0,4,1,1
33228,34521,132788,97239,26928,2,2,0,1
67292,29055,52891,81912,137660,0,0,1,1
165372,24259,101006,481769,146424,0,0,0,0
143593,71707,28474,177832,55718,0,0,1,0
55669,78021,79184,179017,13140,4,1,1,1
116672,68673,131673,65633,96111,2,4,2,1
98269,74071,40651,70202,48777,2,2,2,1
15800,37823,73878,280852,143891,1,3,1,1
83707,30933,15774,203127,142055,4,3,1,0
119586,56700,37624,6823,18489,3,1,0,1
34118,22263,23565,151426,174023,3,0,1,1
46971,18658,31253,457382,179635,0,2,1,0
108850,32658,147924,226058,133623,3,1,0,1
80939,57828,148311,268854,152456,1,1,1,1
85257,37711,16530,273260,65794,2,1,2,0
9135,6629,119472,387291,89087,4,3,2,1
72843,39901,21205,448877,124661,2,0,2,0
85685,54400,41852,436086,52756,4,1,1,1
31170,8438,30095,147226,139076,0,2,0,0
31819,24217,42994,146108,97756,0,3,1,1
100665,645,91835,122232,161162,1,3,0,1
48732,46305,19346,262731,12763,1,4,1,1
100648,25556,69042,18099,109089,0,2,2,1
165081,70969,43866,105400,84246,0,4,2,0
176790,32602,139295,87969,132161,2,3,2,1
72494,76229,114648,38547,28795,0,2,1,1
92960,63278,65077,112782,102932,2,0,0,1
186172,8179,58781,186339,155024,0,2,0,0
192598,10449,60290,388832,86661,2,2,2,0
63810,15223,143669,196749,2659,4,2,2,1
17109,22010,18787,239472,139544,1,0,2,1
20282,21778,15075,469164,179526,0,2,2,1
99840,78610,62142,56307,135565,4,4,0,1
54437,49416,69711,137888,77175,3,0,1,1
133202,11240,102493,125149,163834,3,3,1,1
86768,54869,136888,63095,117886,4,0,1,1
195731,54306,76314,327231,160237,1,4,2,0
54812,50500,68643,44900,174018,3,0,0,1
143440,46403,101170,271312,49879,0,4,2,0
37174,6581,120155,333997,64046,0,2,1,0
132795,14567,99906,239141,96019,0,4,2,0
33803,18230,40795,270914,11093,3,1,1,1
16190,62824,52070,479141,40197,0,1,0,1
142788,28933,145450,40583,112082,3,1,0,1
116032,75868,52604,461552,95074,2,4,0,1
142868,54245,53056,410925,58557,2,3,0,0
101038,16724,13828,116656,17087,1,2,1,0
187024,5463,80448,4648,130576,4,2,2,1
119598,49334,78648,22054,70028,2,2,2,1
88276,59518,62781,183852,192512,3,2,0,1
191356,72124,144393,343492,168455,0,2,1,0
188965,35820,76262,134832,153262,3,1,1,1
43211,3744,34995,148049,34542,3,3,0,1
107112,16715,71350,333569,167708,0,1,1,0
170682,10058,84637,471249,70194,0,0,2,0
182691,17154,70058,62068,99932,2,1,0,1
164741,2282,77534,162777,169316,4,0,2,0
124006,72982,60583,300536,7461,3,4,1,1
153586,36268,72493,36027,93547,1,2,2,1
84003,52395,49758,316456,68670,2,1,2,1
71677,45734,111665,481719,171675,4,3,0,1
96703,21312,127961,302523,17297,3,2,2,1
49014,11738,104333,178570,11120,4,1,1,1
100040,17438,15744,214892,173489,4,2,2,0
125906,70188,17597,309237,168298,2,1,2,0
162489,18693,130956,115598,184233,4,1,0,1
158124,71849,18036,31778,158806,3,1,0,1
23800,25372,71516,282682,63918,3,0,0,1
172647,42261,120659,27716,134308,0,0,0,1
81449,8556,96836,136570,50098,2,1,1,1
131060,56882,140544,340,175021,3,4,2,1
136430,75250,95376,99931,161726,4,2,0,1
63478,64353,36762,144355,194994,4,0,2,1
25219,57169,84965,177912,175767,1,2,0,1
194414,18951,142379,80388,90768,4,3,1,1
123418,75774,142212,418058,26421,4,3,1,1
164380,44789,36086,279003,7684,0,3,0,0
71093,29689,58651,13893,66418,2,1,1,1
83518,72805,132813,341207,2454,2,2,0,1
109946,36593,46304,423602,186292,2,1,2,0
27190,6142,51862,491884,184482,0,3,0,0
13016,2384,112239,111431,80018,2,2,0,1
161590,24045,100102,314063,99441,4,2,2,1
123325,19337,87949,262420,51151,3,1,0,1
57887,49847,68653,217144,56622,2,2,1,1
15503,36976,136439,273734,141958,2,0,0,1
145836,42727,88471,8068,116923,0,0,2,1
80969,15038,87064,21281,54189,3,2,2,1
160394,41869,42955,61388,10207,1,4,0,1
27031,70721,90807,71312,59766,1,1,1,1
116041,46092,20350,227230,100859,1,2,2,0
128853,70263,63117,235062,189466,4,4,2,0
72904,15592,132258,111668,192274,0,0,1,1
166822,76112,26566,138262,38333,1,1,1,0
30235,159,114859,147309,107507,4,3,0,1
192450,71126,66071,202193,74763,1,1,1,0
184838,46154,17016,472779,179760,0,0,1,0
167969,50961,36917,415952,27990,1,0,1,0
85811,55103,116122,234104,19008,2,2,0,1
141865,5571,123550,484146,174220,2,0,1,0
184767,32441,72368,92122,44760,1,4,0,1
103538,15372,39796,451488,98826,0,3,2,0
59040,75357,88356,278355,105426,2,3,0,1
130737,45968,27508,153077,54575,3,0,2,0
72055,5355,64120,467835,38342,0,4,1,0
32364,24972,121715,26654,81423,0,0,1,1
123581,34773,86396,369836,57505,0,3,1,0
159626,62491,68283,478356,16923,0,3,0,0
169074,73016,36672,266357,141365,1,4,2,0
138172,61997,38172,282276,18199,1,0,1,0
36881,24472,64131,155159,12828,2,0,1,1
20193,44864,112518,281755,174863,0,3,1,1
60243,3866,138681,71354,51374,0,1,0,1
86029,20447,40431,411124,29336,0,1,2,0
56955,61240,147227,46607,164559,2,4,0,1
57870,56547,74110,184626,152008,2,0,2,1
183904,28151,21308,240853,193594,3,2,0,0
111984,2204,102769,87265,31131,4,3,2,1
54067,58585,122217,414823,156040,4,3,1,1
66215,55835,59429,344296,108048,2,1,2,1
82240,32793,123688,308617,96762,4,2,2,1
111956,55751,136311,209987,185326,3,2,2,1
169912,32430,33091,257125,164055,3,0,2,0
95270,36081,118272,278385,124932,3,3,0,0
183634,35063,57118,84703,152697,4,4,1,1
49605,39121,41433,43309,67468,2,4,0,1
144883,24272,57153,108042,54110,3,3,1,1
33328,12867,69234,287995,31279,2,1,1,0
94080,5451,97178,434532,194136,1,2,2,0
101566,30873,138389,189699,197227,2,4,2,1
164073,34064,24122,418036,68431,1,1,2,0
144783,18793,149271,76253,36191,3,0,2,1
157614,31312,111971,93783,125681,4,3,0,1
89388,22601,149227,200191,167849,2,4,1,1
68227,4967,94289,151094,174535,2,4,2,1
88596,66732,78323,285960,40695,2,1,2,1
112096,53574,95744,290626,9171,3,4,1,1
135722,3696,136310,413274,151385,0,1,0,0
111611,4956,76641,63811,183232,1,0,1,1
160801,30099,128474,271400,34681,0,0,1,0
48361,64503,44540,157608,84700,3,4,2,1
138943,46002,59812,415842,191051,1,2,2,0
71668,42998,114601,438823,7812,4,3,2,1
79601,8275,57857,387699,20700,0,2,2,0
149941,60315,73353,475406,176098,4,0,2,0
96502,45095,25523,62433,178140,1,3,2,0
152745,27056,147686,494772,7415,3,4,0,1
173798,37044,59976,425468,3832,3,4,0,1
117230,77116,48402,188799,38578,3,3,1,1
156538,45475,70142,216232,157636,4,1,1,0
197029,35517,35711,30106,65458,0,2,2,1
131479,27127,146213,28884,2708,0,2,2,1
15014,64425,144345,178207,102842,1,0,0,1
57874,69087,22297,240341,27128,0,3,2,1
37920,11156,143872,259904,173784,2,3,0,1
15728,20583,95774,400479,126374,2,0,2,1
70942,13689,43276,101968,150945,2,0,0,0
89040,21644,72021,168197,197971,3,4,2,0
172248,41520,35675,149359,174,4,0,0,1
110410,75225,54814,347235,50719,3,1,0,1
29618,34675,28919,266317,109369,0,1,0,1
181886,79747,98791,159034,70533,0,0,0,1
108591,10578,141060,149696,39194,4,2,2,1
40531,52815,14986,294442,1481,0,3,2,1
152907,27798,101649,327031,19477,2,0,0,0
132815,43526,137426,405105,24335,2,2,1,0
58747,37327,82827,106464,131184,3,4,2,1
97036,16523,76960,248709,19552,4,0,1,1
159692,887,41802,85024,118639,0,2,1,0
127746,26049,87789,84526,138918,3,0,0,1
51163,3765,127126,343630,176342,2,4,0,0
60633,51913,104776,25991,185917,4,1,0,1
146633,16901,105556,325019,156989,0,4,1,0
115041,14256,128490,218800,126155,2,2,1,1
27625,32088,113937,464507,196375,1,1,2,1
102718,60710,104876,460270,30949,3,2,0,1
116541,64619,71842,488019,26990,1,4,1,0
133133,34510,11306,3849,12360,0,0,2,1
173035,54330,61707,280833,29084,3,0,2,1
47137,79832,72260,146510,48442,2,4,2,1
104575,1813,103027,385633,84381,0,4,0,0
65272,42051,75618,264064,106121,3,0,0,1
7093,12905,131759,417567,30981,0,1,1,1
121506,78513,148746,312660,191758,3,4,2,1
135970,68498,54816,4138,91176,1,1,0,1
98863,10278,53764,123030,132206,3,0,0,0
26869,5039,122935,10442,73788,1,2,1,1
186561,67087,44397,320815,116214,1,1,1,0
196102,69906,146355,400826,174398,4,2,1,0
5869,1014,20103,475738,110317,2,1,0,0
179588,29061,18024,475430,85947,3,0,1,0
97708,18257,95178,363265,20025,2,2,1,0
185903,43427,140299,431722,5668,3,1,1,1
86982,10751,56218,388793,7352,4,3,1,1
33927,41094,111948,185194,29493,3,3,2,1
143368,25398,45842,13261,76709,1,0,0,1
72173,31781,23652,267247,25500,4,0,1,0
118499,18452,59393,424390,195522,4,3,2,0
87722,12356,138128,491715,2187,3,2,1,1
139678,57620,136270,419705,14387,0,4,2,0
138663,48516,101683,62061,197808,1,1,2,1
147159,30816,33408,124116,131208,2,4,2,0
61358,66197,86240,235595,16322,0,0,0,1
98422,1700,103782,232076,23199,3,4,0,1
114814,36455,133364,434821,14955,1,0,1,0
112216,70269,51458,351181,152185,1,3,2,1
48939,29345,120107,384010,69166,2,3,2,0
13328,15534,95280,478141,36320,2,2,1,1
13640,30049,146690,233612,187125,0,1,0,1
148279,65774,80463,93500,37158,1,0,2,1
125076,58692,140841,192816,15810,1,0,2,1
95932,192,46413,143888,39082,0,2,0,0
168202,40142,46468,423914,141727,1,3,0,0
47056,51831,69191,249664,121948,0,0,2,1
30963,43954,105430,717,11676,2,2,1,1
123696,4994,14234,69300,43949,0,1,2,0
187831,41153,87535,495239,133653,3,0,2,0
161379,11064,86848,37548,168017,1,4,0,1
95101,2382,89698,245762,153407,2,3,2,0
160195,2890,140526,109162,120927,2,2,1,1
14277,42239,58008,276827,131742,3,1,0,1
180607,78542,64319,245144,92067,0,1,1,0
170732,68975,111158,452063,11577,3,0,2,1
68972,41003,29996,100922,86598,3,0,2,0
128099,34693,118944,224655,17374,2,4,1,1
128683,66025,54516,87796,26069,1,3,1,1
123028,39178,42821,444943,192007,2,0,0,0
38722,10625,16859,434825,174379,2,0,1,0
196665,72075,59522,230233,135958,1,0,1,0
164525,76280,112638,184514,182949,2,4,0,1
167781,47788,47019,438164,65133,4,2,2,0
133585,52198,53395,417247,125814,3,1,0,0
158939,203,39063,90880,3748,4,4,2,1
113036,19259,126525,426673,85679,0,2,2,0
95012,78278,22391,102476,159973,1,1,2,1
136040,50357,45503,489498,75403,2,4,2,0
79842,14908,47228,23386,177826,4,4,0,1
171690,76234,71114,248724,25525,2,3,0,0
106154,32933,53469,426903,106609,0,3,2,0
101462,36607,93178,417209,175458,2,4,0,0
101393,76312,85324,71196,70014,2,2,1,1
38340,39850,123711,215250,11094,2,1,2,1
127564,68798,126026,201604,110130,4,3,1,1
150283,5232,62691,482981,79768,2,2,0,0
188185,19610,73185,334711,178646,2,4,0,0
41182,570,29288,340968,160949,1,2,0,0
69575,72518,49104,149134,16999,3,1,2,1
134744,59821,145601,214127,12192,2,2,2,1
91795,34087,76677,135699,187613,2,3,1,1
141285,19404,126545,418596,150245,1,3,1,0
113106,24519,32439,380714,14995,4,1,1,1
103000,21119,49350,439439,25517,2,4,2,0
190271,59546,115686,88151,3327,0,2,2,1
178860,46830,62446,498294,146232,4,3,2,0
133308,5750,123931,340912,35903,1,4,2,0
170386,48225,93014,428395,117305,1,2,1,0
